ds,y,prophet_residual,is_anomaly_true,prophet_pred
2020-06-11 11:00:00,712.9714286,118.06246095296433,0,0
2020-06-11 11:00:00,710.4428571,120.59103245296433,0,0
2020-06-11 11:00:00,723.9125,107.12138955296427,0,0
2020-06-11 11:00:00,726.6375,104.39638955296425,0,0
2020-06-11 11:00:00,662.1285714,168.90531815296424,0,0
2020-06-11 11:00:00,737.6375,93.39638955296425,0,0
2020-06-11 11:15:00,747.8125,97.54798672609775,0,0
2020-06-11 11:15:00,773.0714286,72.28905812609776,0,0
2020-06-11 11:15:00,770.1857143,75.17477242609777,0,0
2020-06-11 11:15:00,768.9875,76.37298672609779,0,0
2020-06-11 11:15:00,773.8428571,71.5176296260978,0,0
2020-06-11 11:15:00,767.375,77.98548672609775,0,0
2020-06-11 11:15:00,761.5625,83.79798672609775,0,0
2020-06-11 11:15:00,763.95,81.4104867260977,0,0
2020-06-11 11:15:00,772.0625,73.29798672609775,0,0
2020-06-11 11:15:00,781.3857143,63.97477242609773,0,0
2020-06-11 11:15:00,703.6875,141.67298672609775,0,0
2020-06-11 11:15:00,757.8428571,87.5176296260978,0,0
2020-06-11 11:15:00,751.2142857,94.14620102609774,0,0
2020-06-11 11:15:00,773.2125,72.14798672609777,0,0
2020-06-11 11:15:00,761.8714286,83.4890581260978,0,0
2020-06-11 11:15:00,773.8125,71.54798672609775,0,0
2020-06-11 11:15:00,781.1,64.26048672609772,0,0
2020-06-11 11:15:00,755.05,90.31048672609779,0,0
2020-06-11 11:15:00,774.1142857,71.24620102609776,0,0
2020-06-11 11:15:00,773.3714286,71.9890581260978,0,0
2020-06-11 11:15:00,713.1625,132.19798672609772,0,0
2020-06-11 11:15:00,786.1857143,59.174772426097775,0,0
2020-06-11 11:30:00,725.6428571,130.01255477581924,0,0
2020-06-11 11:30:00,701.2,154.4554118758192,0,0
2020-06-11 11:30:00,734.725,120.93041187581923,0,0
2020-06-11 11:30:00,723.5857143,132.0696975758193,0,0
2020-06-11 11:30:00,729.6571429,125.9982689758192,0,0
2020-06-11 11:30:00,721.0285714,134.62684047581922,0,0
2020-06-11 11:30:00,716.6,139.05541187581923,0,0
2020-06-11 11:30:00,722.1285714,133.5268404758192,0,0
2020-06-11 11:30:00,729.6857143,125.96969757581928,0,0
2020-06-11 11:30:00,743.175,112.4804118758193,0,0
2020-06-11 11:30:00,655.8428571,199.8125547758193,0,0
2020-06-11 11:30:00,734.1571429,121.4982689758192,0,0
2020-06-11 11:30:00,712.4625,143.19291187581928,0,0
2020-06-11 11:30:00,724.9142857,130.7411261758192,0,0
2020-06-11 11:30:00,731.1625,124.49291187581923,0,0
2020-06-11 11:30:00,705.2142857,150.44112617581925,0,0
2020-06-11 11:30:00,736.1571429,119.4982689758192,0,0
2020-06-11 11:30:00,665.5714286,190.08398327581926,0,0
2020-06-11 11:30:00,714.5625,141.09291187581925,0,0
2020-06-11 11:30:00,716.725,138.93041187581923,0,0
2020-06-11 11:30:00,720.4714286,135.1839832758193,0,0
2020-06-11 11:30:00,722.4428571,133.21255477581929,0,0
2020-06-11 11:45:00,815.4125,46.74806607532787,0,0
2020-06-11 11:45:00,808.3875,53.77306607532785,0,0
2020-06-11 11:45:00,803.2125,58.948066075327915,0,0
2020-06-11 11:45:00,814.7125,47.448066075327915,0,0
2020-06-11 11:45:00,819.1571429,43.00342317532784,0,0
2020-06-11 11:45:00,810.45,51.71056607532785,0,0
2020-06-11 11:45:00,808.3875,53.77306607532785,0,0
2020-06-11 11:45:00,813.3857143,48.774851775327875,0,0
2020-06-11 11:45:00,790.775,71.38556607532792,0,0
2020-06-11 11:45:00,748.575,113.58556607532785,0,0
2020-06-11 11:45:00,809.7,52.46056607532785,0,0
2020-06-11 11:45:00,798.7285714,63.43199467532793,0,0
2020-06-11 11:45:00,749.625,112.53556607532789,0,0
2020-06-11 11:45:00,814.975,47.18556607532787,0,0
2020-06-11 11:45:00,829.5285714,32.63199467532786,0,0
2020-06-11 11:45:00,800.8,61.36056607532794,0,0
2020-06-11 11:45:00,829.65,32.510566075327915,0,0
2020-06-11 11:45:00,831.575,30.585566075327847,0,0
2020-06-11 11:45:00,818.2428571,43.917708975327855,0,0
2020-06-11 11:45:00,803.5142857,58.64628037532793,0,0
2020-06-11 11:45:00,818.2875,43.87306607532787,0,0
2020-06-11 11:45:00,827.0,35.16056607532789,0,0
2020-06-11 12:00:00,844.1,20.98776281536675,0,0
